region,asset,listed,name,symbol,update_dttm,last_page,summary,sector,industry,forum
KR,Equity,KOSDAQ,머큐리,A100590,,,"{'company': ['머큐리'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,서암기계공업,A100660,,,"{'company': ['서암기계공업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,세운메디칼,A100700,,,"{'company': ['세운메디칼'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,미래에셋벤처투자,A100790,,,"{'company': ['미래에셋벤처투자'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,SNT에너지,A100840,,,"{'company': ['SNT에너지'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,상상인인더스트리,A101000,,,"{'company': ['상상인인더스트리'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,SBS미디어홀딩스,A101060,,,"{'company': ['SBS미디어홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,인바이오젠,A101140,,,"{'company': ['인바이오젠'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,월덱스,A101160,,,"{'company': ['월덱스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,우림피티에스,A101170,20220615 082547,,"{'company': ['우림피티에스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,씨큐브,A101240,,,"{'company': ['씨큐브'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,모베이스,A101330,,,"{'company': ['모베이스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에코앤드림,A101360,20230116 124031,,"{'company': ['에코앤드림'], 'details': ['이엔드디'], 'execs': []}",,,
KR,Equity,KOSDAQ,아이엠,A101390,,,"{'company': ['아이엠'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,엔시트론,A101400,,,"{'company': ['엔시트론'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에스앤에스텍,A101490,,,"{'company': ['에스앤에스텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,해태제과식품,A101530,,,"{'company': ['해태제과식품'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,하이드로리튬,A101670,20221101 080017,,"{'company': ['코리아에스이'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,한국정밀기계,A101680,,,"{'company': ['한국정밀기계'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,위메이드맥스,A101730,20220615 082547,,"{'company': ['위메이드맥스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,인화정공,A101930,,,"{'company': ['인화정공'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,어보브반도체,A102120,,,"{'company': ['어보브반도체'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,동성케미컬,A102260,20210416 083007,,"{'company': ['동성케미컬'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,쌍방울,A102280,,,"{'company': ['쌍방울'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,이연제약,A102460,,,"{'company': ['이연제약'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,이엔에프테크놀로지,A102710,,,"{'company': ['이엔에프테크놀로지'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,코오롱생명과학,A102940,,,"{'company': ['코오롱생명과학'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,풍산,A103140,,,"{'company': ['풍산'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,에스앤더블류,A103230,,,"{'company': ['에스앤더블류'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,일진전기,A103590,,,"{'company': ['일진전기'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,우양,A103840,,,"{'company': ['우양'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,대성파인텍,A104040,,,"{'company': ['대성파인텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,NHN벅스,A104200,,,"{'company': ['NHN벅스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,디와이피엔에프,A104460,,,"{'company': ['디와이피엔에프'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,티케이케미칼,A104480,,,"{'company': ['티케이케미칼'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,코렌텍,A104540,,,"{'company': ['코렌텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,노랑풍선,A104620,,,"{'company': ['노랑풍선'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,한국철강,A104700,,,"{'company': ['한국철강'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,원익머트리얼즈,A104830,,,"{'company': ['원익머트리얼즈'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,케이엔더블유,A105330,,,"{'company': ['케이엔더블유'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,트루윈,A105550,,,"{'company': ['트루윈'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,KB금융,A105560,,,"{'company': ['KB금융'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,한세실업,A105630,,,"{'company': ['한세실업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,디케이락,A105740,,,"{'company': ['디케이락'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,우진,A105840,,,"{'company': ['우진'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,하이소닉,A106080,,,"{'company': ['하이소닉'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,하이텍팜,A106190,,,"{'company': ['하이텍팜'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,파인테크닉스,A106240,,,"{'company': ['파인테크닉스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,노블엠앤비,A106520,20220615 082547,,"{'company': ['노블엠앤비'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,미원홀딩스,A107590,,,"{'company': ['미원홀딩스'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,톱텍,A108230,,,"{'company': ['톱텍'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,LX세미콘,A108320,20220615 082547,,"{'company': ['LX세미콘'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,대양전기공업,A108380,,,"{'company': ['대양전기공업'], 'details': [], 'execs': []}",,,
KR,Equity,KOSDAQ,로보티즈,A108490,,,"{'company': ['로보티즈'], 'details': [], 'execs': []}",,,
KR,Equity,KOSPI,LX하우시스,A108670,20220615 082547,,"{'company': ['LX하우시스'], 'details': [], 'execs': []}",,,
